#U in V,    I/mA,   t/min   , R/Ohm
16.69   , 160.3  ,  4.56    , 27.0
16.95   , 161.2  ,  5.32    , 31.3
17.05   , 162.0  ,  5.58    , 35.5
17.15   , 162.8  ,  6.15    , 39.7
18.80   , 178.0  ,  5.15    , 43.8
18.65   , 176.8  ,  5.47    , 47.9
19.79   , 187.4  ,  5.11    , 52.0
19.86   , 188.0  ,  5.12    , 56.1
19.90   , 188.3  ,  5.16    , 60.2
19.93   , 188.5  ,  5.29    , 64.3
19.96   , 188.7  ,  5.37    , 68.3
19.98   , 188.9  ,  5.43    , 72.3
20.0    , 189.1  ,  5.41    , 76.3
20.0    , 189.2  ,  5.00    , 80.3
20.1    , 189.3  ,  6.31    , 84.2
20.0    , 189.4  ,  6.12    , 88.2
20.0    , 189.5  ,  4.44    , 92.1
20.0    , 189.5  ,  6.12    , 96.1
20.0    , 189.6  ,  6.19    ,100.0
20.0    , 189.6  ,  6.38    ,103.9
20.0    , 189.7  ,  6.25    ,107.8
20.0    , 189.8  ,  6.25    ,111.7
